日期,小时,模型充电量(度),订单充电量(度),差异(模型-订单)(度)
20260619,22:00,25.6667,15.3598,10.3069
20260619,23:00,64.3417,51.12,13.2217
20260620,00:00,314.425,289.2094,25.2156
20260620,01:00,117.5833,96.4615,21.1218
20260620,02:00,115.125,109.1905,5.9345
20260620,03:00,67.95,75.8932,-7.9432
20260620,04:00,58.2,43.3343,14.8657
20260620,05:00,50.8134,42.183,8.6304
20260620,06:00,66.3822,58.6997,7.6825
20260620,07:00,243.3976,234.2063,9.1913
20260620,08:00,174.9532,182.8521,-7.8989
20260620,09:00,247.0474,186.7515,60.2959
20260620,10:00,192.0102,169.1506,22.8596
20260620,11:00,212.5911,179.4712,33.1199
20260620,12:00,300.1996,221.6932,78.5064
20260620,13:00,289.3773,254.0058,35.3715
20260620,14:00,130.088,124.7926,5.2954
20260620,15:00,73.7502,60.0007,13.7495
20260620,16:00,135.8832,107.4041,28.4791
20260620,17:00,85.3148,66.6917,18.6231
20260620,18:00,116.6428,83.5415,33.1013
20260620,19:00,79.6644,53.218,26.4464
20260620,20:00,31.5,19.3951,12.1049
20260620,21:00,74.0583,57.4567,16.6016
20260620,22:00,52.25,41.5922,10.6578
20260620,23:00,9.8167,0.0,9.8167
20260621,00:00,249.7,224.9897,24.7103
20260621,01:00,100.9167,87.1723,13.7444
20260621,02:00,107.325,75.4163,31.9087
20260621,03:00,190.8417,166.5471,24.2946
20260621,04:00,94.9667,92.7578,2.2089
20260621,05:00,41.9953,24.4817,17.5136
20260621,06:00,138.1988,107.51,30.6888
20260621,07:00,234.9719,249.278,-14.3061
20260621,08:00,104.4147,102.5873,1.8274
20260621,09:00,193.6265,146.2577,47.3688
20260621,10:00,239.109,202.6998,36.4092
20260621,11:00,236.447,192.2305,44.2165
20260621,12:00,365.4979,276.9244,88.5735
20260621,13:00,219.5507,198.6438,20.9069
20260621,14:00,120.6502,102.6394,18.0108
20260621,15:00,172.7263,143.766,28.9603
20260621,16:00,265.3433,237.7885,27.5548
20260621,17:00,308.3625,260.4851,47.8774
20260621,18:00,203.6705,151.7627,51.9078
20260621,19:00,144.3101,111.5638,32.7463
20260621,20:00,80.525,54.2846,26.2404
20260621,21:00,31.325,21.1309,10.1941
20260621,22:00,91.825,76.9588,14.8662
20260621,23:00,19.975,7.6561,12.3189
20260622,00:00,155.3917,139.2405,16.1512
20260622,01:00,91.5417,69.814,21.7277
20260622,02:00,56.525,42.0615,14.4635
20260622,03:00,95.275,65.1032,30.1718
20260622,04:00,73.1917,67.9968,5.1949
20260622,05:00,17.8612,7.26,10.6012
20260622,06:00,73.4017,60.5899,12.8118
20260622,07:00,243.4008,246.7769,-3.3761
20260622,08:00,308.7011,303.8986,4.8025
20260622,09:00,170.7244,143.8989,26.8255
20260622,10:00,237.0371,202.8863,34.1508
20260622,11:00,217.3844,169.644,47.7404
20260622,12:00,394.1898,328.3171,65.8727
20260622,13:00,239.3839,202.4045,36.9794
20260622,14:00,145.2228,129.0612,16.1616
20260622,15:00,137.0601,119.0827,17.9774
20260622,16:00,139.4546,116.6315,22.8231
20260622,17:00,180.3344,131.8254,48.509
20260622,18:00,178.5159,134.2711,44.2448
20260622,19:00,98.2922,74.4743,23.8179
20260622,20:00,68.9333,45.7641,23.1692
20260622,21:00,39.5417,28.4385,11.1032
20260622,22:00,64.6,46.5867,18.0133
20260622,23:00,18.15,0.0121,18.1379
20260623,00:00,282.5833,249.7063,32.877
20260623,01:00,125.825,103.1095,22.7155
20260623,02:00,143.7167,121.9878,21.7289
20260623,03:00,74.175,61.0526,13.1224
20260623,04:00,31.0167,25.8204,5.1963
20260623,05:00,18.9762,14.796,4.1802
20260623,06:00,168.3448,133.0374,35.3074
20260623,07:00,323.7327,331.5433,-7.8106
20260623,08:00,181.8287,164.2519,17.5768
20260623,09:00,274.6026,233.3592,41.2434
20260623,10:00,125.4415,88.6829,36.7586
20260623,11:00,251.1358,190.1363,60.9995
20260623,12:00,387.2388,289.43,97.8088
20260623,13:00,326.2244,267.0252,59.1992
20260623,14:00,165.5185,139.7071,25.8114
20260623,15:00,108.3047,79.5844,28.7203
20260623,16:00,165.2438,136.1666,29.0772
